Date,Job Creation Date,Job Completion Date,Filtered Job Completion Date,Success,Duration,Duration Bucket,Activity Type,Component Being updated,Cores,Customer ID,Job Completion Times & Job Completion Time,Job Creation Time,Job Result,Number of Records,Path,Product Name,Storage (GB),Storage
11/5/2019 8:00:00 PM,11/5/2019 12:00:00 AM,11/5/2019 12:00:00 AM,11/5/2019 12:00:00 AM,True,12,0-59 minutes,Deployment,,96,,11/5/2019 8:17:00 PM,11/5/2019 8:05:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 4,9600,
11/5/2019 7:00:00 PM,11/5/2019 12:00:00 AM,11/5/2019 12:00:00 AM,11/5/2019 12:00:00 AM,False,42,0-59 minutes,Deployment,,96,,11/5/2019 8:01:00 PM,11/5/2019 7:19:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 4,9600,
11/4/2019 9:00:00 PM,11/4/2019 12:00:00 AM,11/4/2019 12:00:00 AM,11/4/2019 12:00:00 AM,True,33,0-59 minutes,Deployment,,48,,11/4/2019 10:32:00 PM,11/4/2019 9:59:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 1,2400,
11/4/2019 9:00:00 PM,11/4/2019 12:00:00 AM,11/4/2019 12:00:00 AM,11/4/2019 12:00:00 AM,True,33,0-59 minutes,Deployment,,48,,11/4/2019 10:32:00 PM,11/4/2019 9:59:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 1,2400,
11/1/2019 12:00:00 AM,11/1/2019 12:00:00 AM,11/1/2019 12:00:00 AM,11/1/2019 12:00:00 AM,True,12,0-59 minutes,Deployment,,16,,11/1/2019 12:39:00 AM,11/1/2019 12:27:00 AM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,2400,
11/1/2019 12:00:00 AM,11/1/2019 12:00:00 AM,11/1/2019 12:00:00 AM,11/1/2019 12:00:00 AM,False,4,0-59 minutes,Deployment,,16,,11/1/2019 12:28:00 AM,11/1/2019 12:24:00 AM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,2400,
10/31/2019 11:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,4,0-59 minutes,Deployment,,16,,10/31/2019 11:07:00 PM,10/31/2019 11:03:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,2400,
10/31/2019 9:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,True,72,60-119 minutes,Deployment,,6,,10/31/2019 10:29:00 PM,10/31/2019 9:17:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 8:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,15,0-59 minutes,Deployment,,6,,10/31/2019 8:43:00 PM,10/31/2019 8:28:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 8:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,8,0-59 minutes,Deployment,,6,,10/31/2019 8:34:00 PM,10/31/2019 8:26:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 6:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,True,79,60-119 minutes,Deployment,,6,,10/31/2019 7:55:00 PM,10/31/2019 6:36:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 6:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,True,74,60-119 minutes,Deployment,,6,,10/31/2019 7:45:00 PM,10/31/2019 6:31:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 6:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,True,72,60-119 minutes,Deployment,,6,,10/31/2019 7:42:00 PM,10/31/2019 6:30:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 5:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,3,0-59 minutes,Deployment,,6,,10/31/2019 6:02:00 PM,10/31/2019 5:59:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 5:00:00 PM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,5,0-59 minutes,Deployment,,6,,10/31/2019 5:48:00 PM,10/31/2019 5:43:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 7:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,4,0-59 minutes,Deployment,,6,,10/31/2019 7:41:00 AM,10/31/2019 7:37:00 AM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/31/2019 2:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,True,9,0-59 minutes,Deployment,,16,,10/31/2019 2:22:00 AM,10/31/2019 2:13:00 AM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,1440,
10/31/2019 2:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,10/31/2019 12:00:00 AM,False,7,0-59 minutes,Deployment,,16,,10/31/2019 2:14:00 AM,10/31/2019 2:07:00 AM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,1440,
10/30/2019 11:00:00 PM,10/30/2019 12:00:00 AM,10/30/2019 12:00:00 AM,10/30/2019 12:00:00 AM,False,5,0-59 minutes,Deployment,,16,,10/30/2019 11:23:00 PM,10/30/2019 11:18:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,1440,
10/30/2019 5:00:00 PM,10/30/2019 12:00:00 AM,10/30/2019 12:00:00 AM,10/30/2019 12:00:00 AM,False,83,60-119 minutes,Deployment,,6,,10/30/2019 6:56:00 PM,10/30/2019 5:33:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/30/2019 3:00:00 PM,10/30/2019 12:00:00 AM,10/30/2019 12:00:00 AM,10/30/2019 12:00:00 AM,False,5,0-59 minutes,Deployment,,6,,10/30/2019 3:36:00 PM,10/30/2019 3:31:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/29/2019 10:00:00 PM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,False,5,0-59 minutes,Deployment,,6,,10/29/2019 11:00:00 PM,10/29/2019 10:55:00 PM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/29/2019 6:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,False,5,0-59 minutes,Deployment,,6,,10/29/2019 7:02:00 AM,10/29/2019 6:57:00 AM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/29/2019 5:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,False,5,0-59 minutes,Deployment,,6,,10/29/2019 5:42:00 AM,10/29/2019 5:37:00 AM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,False,6,0-59 minutes,Deployment,,6,,10/29/2019 12:57:00 AM,10/29/2019 12:51:00 AM,FAILURE,1,IBM2/Anonymized Deployment Job Data.csv,Product 3,40,
10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,10/29/2019 12:00:00 AM,True,6,0-59 minutes,Deployment,,16,,10/29/2019 12:27:00 AM,10/29/2019 12:21:00 AM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,960,
10/28/2019 11:00:00 PM,10/28/2019 12:00:00 AM,10/28/2019 12:00:00 AM,10/28/2019 12:00:00 AM,True,8,0-59 minutes,Deployment,,16,,10/28/2019 11:50:00 PM,10/28/2019 11:42:00 PM,SUCCESS,1,IBM2/Anonymized Deployment Job Data.csv,Product 2,960,
